step,dev_acc,test_acc
133,0.5176085176085176,0.48751007252215955
266,0.5552825552825553,0.5390813859790492
399,0.5749385749385749,0.5608380338436745
532,0.5888615888615889,0.5656728444802579
665,0.7362817362817363,0.7002417405318292
798,0.7846027846027847,0.7510072522159549
931,0.7698607698607699,0.7429492344883158
1064,0.7616707616707616,0.7437550362610797
1197,0.7665847665847666,0.7421434327155519
1330,0.7608517608517609,0.7405318291700241
1463,0.7641277641277642,0.7292506043513296
1596,0.7674037674037674,0.7373086220789685
1729,0.7641277641277642,0.7228041901692184
1862,0.7534807534807535,0.7252215954875101
1995,0.7493857493857494,0.7316680096696213
